Invested_Company,Location,First_Investment_Date,As_of_Investment_Date,Ownership_Stake,Ownership_Stake_int,Country
Funcom,"Oslo, Norway",September 2019,January 2020,100% Stake,100,Norway
"Leyou (Athlon Games, Digital Extremes, Splash Damage)",Hong Kong,December 2020,,100% Stake,100,Hong Kong
Riot Games,"Los Angeles, United States",September 2009,December 2015,100% Stake,100,United States
Sharkmob,"Malmö, Sweden",March 2019,,100% Stake,100,Sweden
Sumo Group,"Sheffield, United Kingdom",November 2019,January 2022,100% Stake,100,United Kingdom
"Visual Arts (Key, KineticNovel)","Osaka, Japan",July 2023,, 51% Stake,51,Japan
Turtle Rock Studios,"Lake Forest, United States",December 2021,, 51% Stake,51,United States
"Wake Up Interactive (Soleil, Valhalla Game Studios)",Hong Kong,November 2021,, 51% Stake,51,Hong Kong
Inflexion Games,"Edmonton, Canada",February 2022,, 51% Stake,51,Canada
Fulqrum Publishing,"Prague, Czechia",February 2022,, 51% Stake,51,Czechia
Techland,"Wrocław, Poland",24 July 2023,, 51% Stake,51,Poland
Tequila Works,"Madrid, Spain",March 2022,, 51% Stake,51,Spain
Klei Entertainment,"Vancouver, Canada",January 2021,, 51% Stake,51,Canada
10 Chambers Collective,"Stockholm, Sweden",October 2020,, 51% Stake,51,Sweden
Yager Development,"Berlin, Germany",February 2020,June 2021, 51% Stake,51,Germany
Fatshark,"Stockholm, Sweden",January 2019,January 2021, 51% Stake,51,Sweden
Miniclip,"Neuchâtel, Switzerland",February 2015,, 51% Stake,51,Switzerland
Supercell,"Helsinki, Finland",June 2016,,84% Stake,84,Finland
Grinding Gear Games,"Auckland, New Zealand",May 2018,,100% Stake,100,New Zealand
Don't Nod,"Paris, France",January 2021,,42% Stake,42,France
Epic Games,"Cary, United States",June 2012,,35% Stake,35,United States
Pocket Gems,"San Francisco, United States",2015,May 2017,38% Stake,38,United States
Sea Ltd (Garena),Singapore,2010,January 2022,18.7% Stake,18,Singapore
Bloober Team,"Kraków, Poland",October 2021,,22% Stake,22,Poland
Marvelous,"Tokyo, Japan",May 2020,,20% Stake,20,Japan
Shift Up,"Seoul, South Korea",December 2022,,35.03% Stake,35,South Korea
Netmarble,"Seoul, South Korea",September 2018,,17.66% Stake,17,South Korea
FromSoftware,"Tokyo, Japan",August 2022,,16.25% Stake,16,Japan
Remedy Entertainment,"Helsinki, Finland",May 2021,,14% Stake,14,Finland
Kakao,"Jeju City, South Korea",May 2012,,13.54% Stake,13,South Korea
Krafton (Bluehole Studio),"Seongnam-si, South Korea",August 2018,,13.87% Stake,13,South Korea
Ubisoft,"Paris, France",March 2018,,9.99% Stake,9,France
Frontier Developments,"Cambridge, United Kingdom",July 2017,,9% Stake,9,United Kingdom
Kadokawa Corporation,"Tokyo, Japan",October 2021,,6.86% Stake,6,Japan
Paradox Interactive,"Stockholm, Sweden",March 2016,,10.07% Stake,10,Sweden
