Console,Type,Company,Year_Released,Units_Sold,Ref,Concole,Units_Sold_Formatted
PlayStation 2,Home,Sony,2000,155000000,[note 1],PlayStation 2,"155,000,000"
Nintendo DS,Handheld,Nintendo,2004,154020000,[20],Nintendo DS,"154,020,000"
Nintendo Switch #,Handheld,Nintendo,2017,143420000,[20][note 2],Nintendo Switch #,"143,420,000"
Game Boy & Game Boy Color,Handheld,Nintendo,1989,118690000,[20][note 3],Game Boy & Game Boy Color,"118,690,000"
PlayStation 4,Home,Sony,2013,117200000,[36],PlayStation 4,"117,200,000"
PlayStation,Home,Sony,1994,102490000,[37],PlayStation,"102,490,000"
Wii,Home,Nintendo,2006,101630000,[20],Wii,"101,630,000"
PlayStation 3,Home,Sony,2006,87400000,[note 1],PlayStation 3,"87,400,000"
Xbox 360,Home,Microsoft,2005,84000000,[note 4],Xbox 360,"84,000,000"
Game Boy Advance,Handheld,Nintendo,2001,81510000,[20],Game Boy Advance,"81,510,000"
PlayStation Portable,Handheld,Sony,2004,81000000,[note 1],PlayStation Portable,"81,000,000"
Nintendo 3DS,Handheld,Nintendo,2011,75940000,[20],Nintendo 3DS,"75,940,000"
Family Computer/Nintendo Entertainment System,Home,Nintendo,1983,61910000,[20],Family Computer/Nintendo Entertainment System,"61,910,000"
Playstation 5,Home,Sony,2020,61700000,[45],Playstation 5,"61,700,000"
Xbox One,Home,Microsoft,2013,58000000,[46],Xbox One,"58,000,000"
Super Famicom/Super Nintendo Entertainment System,Home,Nintendo,1990,49100000,[20],Super Famicom/Super Nintendo Entertainment System,"49,100,000"
Nintendo 64,Home,Nintendo,1996,32930000,[20],Nintendo 64,"32,930,000"
Xbox Series X/S #,Home,Microsoft,2020,28300000,[51],Xbox Series X/S #,"28,300,000"
Xbox,Home,Microsoft,2001,24000000,[52],Xbox,"24,000,000"
Nintendo GameCube,Home,Nintendo,2002,21740000,[20],Nintendo GameCube,"21,740,000"
Wii U,Home,Nintendo,2012,13560000,[20],Wii U,"13,560,000"
PlayStation Vita,Handheld,Sony,2011,12500000,[note 1],PlayStation Vita,"12,500,000"
NES Classic Edition,Dedicated,Nintendo,2016,3560000,[69][70],NES Classic Edition,"3,560,000"
Color TV-Game,Dedicated,Nintendo,1977,3000000,[79][80],Color TV-Game,"3,000,000"
