Game,Number,As of,Business model,Release date,Publisher(s),Ref.
PUBG,[n 1],December 2022,Free-to-play,"December 20, 2017",Krafton / Tencent,[1]
Pac-Man,,1982,Pay-to-play Free-to-play,"May 21, 1980",Namco,[n 2][n 1]
CrossFire,,February 2020,Free-to-play,"May 3, 2007",Smilegate / Tencent,[4]
Pokémon Go,,February 2019,Free-to-play,"December 13, 2016",Pokémon Company,[5]
Dungeon Fighter Online,,December 2021,Free-to-play,August 2005,Nexon / Tencent,[6][7]
QQ Speed / GKART / Speed Drifters,[n 1],January 2020,Free-to-play,"January 23, 2008",Tencent / Garena,[8]
Minecraft,[n 1],April 2021,Free-to-play Pay-to-play[n 3],"November 18, 2011",Mojang / NetEase[n 3],[9]
Candy Crush Saga,[n 1],June 2014,Free-to-play,"April 12, 2012",King,[10]
Among Us,[n 4],November 2020,Free-to-play Pay-to-play[n 5],"June 15, 2018",Innersloth,[11]
Solitaire,,July 2015,Free-to-play,"May 22, 1990",Microsoft,[12]
Mini World,[n 1],April 2020,Free-to-play,"December 26, 2015",Miniwan,[13]
Crazyracing Kartrider,,March 2020,Free-to-play,"June 1, 2004",Nexon,[14]
Fortnite,[n 1],May 2020,Free-to-play,"September 26, 2017",Epic Games,[15]
Fantasy Westward Journey,,April 2015,Free-to-play,December 2001,NetEase,[16]
RuneScape,,April 2020,Subscription Free-to-play,"January 4, 2001",Jagex,[17]
Rules of Survival,[n 1],October 2018,Free-to-play,"November 17, 2017",NetEase,[18]
Roblox,,April 2021,Free-to-play,"August 27, 2006",Roblox Corporation,[19]
Club Penguin,,July 2013,Free-to-play,October 2005,Disney Interactive Studios,[20]
Dragon Nest,,March 2013,Free-to-play,March 2010,Nexon,[21]
MapleStory,,March 2020,Free-to-play,"April 29, 2003",Nexon,[14]
Tetris,[n 1],September 2008,Pay-to-play Free-to-play,"June 6, 1984",Various,[22]
Animal Jam,,October 2017,Free-to-play,September 2010,WildWorks,[23]
World of Tanks,,April 2020,Free-to-play,"August 12, 2010",Wargaming,[24]
Grand Theft Auto V,,February 2021,Pay-to-play,"October 1, 2013",Rockstar Games,[25]
Apex Legends,,February 2022,Free-to-play,"February 4, 2019",Electronic Arts,[26]
The Legend of Mir 3,,February 2012,Subscription,October 2004,WeMade Entertainment,[27]
League of Legends,monthly players,August 2018,Free-to-play,"October 27, 2009",Riot Games,[28]
Transformice,,April 2019,Free-to-play,"May 1, 2010",Atelier 801,[29]
World of Warcraft,,January 2014,Subscription Pay-to-play[n 6],"November 23, 2004",Blizzard Entertainment,[30]
CityVille,[n 1],October 2011,Free-to-play,"December 2, 2010",Zynga,[31]
Happy Farm,[n 1],August 2013,Free-to-play,November 2008,5 Minutes,[32]
Scions of Fate,,April 2018,Free-to-play,"November 25, 2004",KRG Soft,[33]
The Sims Social,,October 2011,Free-to-play,"August 9, 2011",Electronic Arts,[31]
Zhengtu,,April 2018,Free-to-play,2007,Zhengtu Network,[34]
Microsoft Solitaire Collection,,August 2016,Free-to-play,"July 29, 2015",Microsoft,[35]
Hearthstone,,November 2018,Free-to-play,"March 11, 2014",Blizzard Entertainment,[36]
Call of Duty: Warzone,[n 7],April 2021,Free-to-play,"March 20, 2020",Activision Blizzard,[37]
FarmVille,[n 1],March 2010,Free-to-play,"June 19, 2009",Zynga,[38]
Westward Journey Online II,,November 2006,Free-to-play,2001,NetEase,[39]
Ragnarok Online,,April 2018,Subscription Free-to-play[n 8],"August 31, 2002",Gravity,[27]
Moshi Monsters,,July 2014,Free-to-play,"April 16, 2008",Mind Candy,[40]
Yu-Gi-Oh! Duel Links,[n 1],November 2018,Free-to-play,"November 17, 2016",Konami,[41]
